timestamp,age,gender,frequency,categories,personalized_recommendation_frequency,browsing_frequency,product_search_method,search_result_exploration,customer_reviews_importance,add_to_cart,cart_completion_frequency,cart_abandonment_factors,review_left,shopping_satisfaction,service_appreciation,improvement_areas,user_id,date_only
2023-06-04 13:28:19,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Yes,1,Competitive prices,Reducing packaging waste,1,2023-06-04
2023-06-04 14:30:44,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,No,2,Wide product selection,Reducing packaging waste,2,2023-06-04
2023-06-04 17:04:56,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,No,3,Competitive prices,Product quality and accuracy,3,2023-06-04
2023-06-04 17:13:00,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,Found a better price elsewhere,Yes,4,Competitive prices,Product quality and accuracy,4,2023-06-04
2023-06-04 17:28:06,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,High shipping costs,No,2,Competitive prices,Product quality and accuracy,5,2023-06-04
2023-06-04 18:01:59,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,No,2,Wide product selection,Product quality and accuracy,6,2023-06-04
2023-06-04 18:31:41,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,1,Yes,Often,High shipping costs,No,3,Wide product selection,Shipping speed and reliability,7,2023-06-04
2023-06-04 19:13:12,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,No,3,Competitive prices,Shipping speed and reliability,8,2023-06-04
2023-06-04 19:23:21,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,No,2,Wide product selection,Reducing packaging waste,9,2023-06-04
2023-06-04 19:33:12,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,No,4,Wide product selection,Product quality and accuracy,10,2023-06-04
2023-06-04 19:45:33,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,No,2,Competitive prices,Shipping speed and reliability,11,2023-06-04
2023-06-04 19:48:31,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Yes,1,Wide product selection,Product quality and accuracy,12,2023-06-04
2023-06-04 20:00:11,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,No,2,Competitive prices,Product quality and accuracy,13,2023-06-04
2023-06-04 20:01:45,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Yes,2,Wide product selection,Product quality and accuracy,14,2023-06-04
2023-06-04 20:02:28,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Yes,1,User-friendly website/app interface,Reducing packaging waste,15,2023-06-04
2023-06-04 20:20:42,23,Female,Less than once a month,others,No,Rarely,Filter,First page,1,Maybe,Sometimes,High shipping costs,No,3,User-friendly website/app interface,Shipping speed and reliability,16,2023-06-04
2023-06-04 20:39:53,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,No,2,Wide product selection,Shipping speed and reliability,17,2023-06-04
2023-06-04 20:45:45,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Sometimes,others,No,1,Wide product selection,Shipping speed and reliability,18,2023-06-04
2023-06-04 20:46:02,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,No,2,Wide product selection,Customer service responsiveness,19,2023-06-04
2023-06-04 20:48:59,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,No,2,Wide product selection,Product quality and accuracy,20,2023-06-04
2023-06-04 20:49:49,64,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,No,2,Competitive prices,Reducing packaging waste,21,2023-06-04
2023-06-04 20:52:49,23,Female,Once a month,Clothing and Fashion,No,Few times a month,others,First page,1,Yes,Sometimes,Found a better price elsewhere,No,2,User-friendly website/app interface,Customer service responsiveness,22,2023-06-04
2023-06-04 20:54:36,21,Male,Less than once a month,others,No,Few times a week,others,Multiple pages,1,Yes,Never,others,No,3,.,.,23,2023-06-04
